ID,Name,Price,Country,City,Year
1,"Barnes, Moore and Monroe - Greek Salad",67,Korea,Kristinmouth,1992
2,Lambert LLC - Cranberry Sauce,88,Poland,West Patrick,2003
3,Hicks Ltd - Multifold Bread,29,Timor-Leste,Gallegosfort,2004
4,Fox-Johnston - Clam Chowder,90,Pakistan,Coleville,1998
5,"Dunn, Maldonado and Jones - Beef Noodle Soup",53,Samoa,East Luisland,2008
6,Jones-Hodges - Energy Drink,63,Bangladesh,Ashleyborough,2016
7,"Martinez, Powell and Adams - Apple Pie",13,Libyan Arab Jamahiriya,Charlesborough,2004
8,"Nelson, Allen and Diaz - Chocolate Muffin",78,Palestinian Territory,East Joshua,2009
9,Leach LLC - Chicken Nuggets,38,Greenland,Garrettburgh,2013
10,Pham-White - Vanilla Yogurt,93,Belize,Port Stephaniemouth,1991
11,Walker PLC - Orange Juice,35,Kiribati,East Lisaberg,2013
12,"Banks, Lewis and Henderson - Strawberry Jam",78,Georgia,Nicholasbury,1991
13,George-Johnson - Mozzarella Sticks,11,Lao People's Democratic Republic,New Elizabethbury,2012
14,"Jordan, Perez and Shepherd - Grilled Cheese Sandwich",67,Equatorial Guinea,Robinmouth,1993
15,Roach-James - Tuna Wrap,45,Uruguay,Simpsonchester,2014
16,Martin-Stewart - Ham and Cheese Sub,12,Burundi,Petersonside,2012
17,Baldwin Group - Vegetable Spring Roll,15,Kazakhstan,Jeffborough,2015
18,Mendoza-Watson - French Fries,76,British Indian Ocean Territory (Chagos Archipelago),Keithborough,2009
19,"Howell, Jones and Phillips - Mashed Potatoes",92,New Zealand,Schaeferton,2002
20,"Allen, Fitzpatrick and Smith - Garlic Bread",30,Bermuda,Watsonton,2009
21,Dickson Group - Blueberry Pancakes,35,Fiji,Port Stephen,2018
22,"Chapman, Smith and Holden - Spaghetti Bolognese",34,Hungary,Amberfort,2007
23,Howe LLC - Macaroni and Cheese,74,Palestinian Territory,Scotttown,2013
24,Miller-Simmons - Caesar Salad,18,Denmark,Lake Kristenstad,2019
25,"Johnson, Burton and Vincent - Chili Con Carne",53,Lebanon,Michellechester,2001
26,Watts PLC - Pumpkin Soup,92,Solomon Islands,Port Keithhaven,1991
27,Mora Group - Broccoli Casserole,47,Kazakhstan,Petersonshire,2000
28,Nelson-Green - Chicken Caesar Wrap,19,Paraguay,East Stevenbury,1991
29,Andrade-Phillips - Veggie Burger,72,Angola,Markfurt,2013
30,Mayo Group - BBQ Chicken Wings,23,Gibraltar,East Markfurt,2024
31,Gutierrez Group - Egg Fried Rice,35,Thailand,South Antonio,2000
32,Payne LLC - Seafood Paella,78,Bangladesh,Coleport,2024
33,Scott LLC - Butter Chicken,84,Brazil,Lake Nicolefort,1993
34,Salazar PLC - Tandoori Naan,36,Ghana,Darlenechester,2015
35,Bailey-Rogers - Paneer Tikka,99,United States of America,Amandashire,2011
36,"Smith, Frye and Jacobs - Lamb Gyro",82,Saint Lucia,Port Morganstad,1996
37,Sims Ltd - Falafel Wrap,14,Mayotte,New Bethmouth,2001
38,Page PLC - Hummus Plate,64,Uruguay,Lake Nicoleton,2023
39,"Donovan, Wood and Dunn - Avocado Toast",19,Mauritania,Lake Craigtown,2016
40,Johnson PLC - Bagel with Cream Cheese,35,Uruguay,Port Lee,2016
41,"Cline, Austin and Matthews - Croissant Sandwich",76,Equatorial Guinea,North Kathy,2012
42,Carson-Schultz - Salmon Sushi Roll,69,United States Minor Outlying Islands,Christopherberg,1991
43,"Elliott, Marsh and Taylor - Tempura Prawns",47,Egypt,Port Derrick,1992
44,Valentine-Barnes - Chicken Teriyaki,43,Mexico,Aimeeview,1993
